time,P,T,RH,LAT,LON,WD,WS,IF
2019/07/14 13:01:26.482000,1004.913515,34.24,62.0,0.0,0.0,180.0,0.0,0.0
2019/07/14 13:01:27.488000,1004.919218,34.25,61.8,121.44225,24.99757,180.0,0.08611111111111111,0.0
2019/07/14 13:01:28.479000,1004.934218,34.26,61.9,121.44226,24.99757,180.0,0.016666666666666666,0.0
2019/07/14 13:01:29.480000,1004.917343,34.27,61.9,121.44225,24.99756,180.0,0.04722222222222222,0.0
2019/07/14 13:01:30.481000,1004.9189060000001,34.27,62.3,121.44225,24.99755,180.0,0.09722222222222221,0.0
2019/07/14 13:01:31.480000,1004.9182810000001,34.28,62.6,121.44225,24.99754,180.0,0.04722222222222222,0.0
2019/07/14 13:01:32.480000,1004.898593,34.29,63.0,121.44226,24.99754,180.0,0.041666666666666664,0.0
2019/07/14 13:01:33.480000,1004.904062,34.31,63.4,121.44226,24.99754,180.0,0.041666666666666664,0.0
2019/07/14 13:01:34.479000,1004.9080460000001,34.31,63.7,121.44226,24.99754,180.0,0.036111111111111115,0.0
2019/07/14 13:01:35.481000,1004.924921,34.34,64.1,121.44226,24.99754,180.0,0.12777777777777777,0.0
2019/07/14 13:01:36.480000,1004.9308589999999,34.33,64.2,121.44226,24.99754,180.0,0.030555555555555555,0.0
2019/07/14 13:01:37.484000,1004.914453,34.34,64.2,121.44226,24.99754,180.0,0.04722222222222222,0.0
2019/07/14 13:01:38.481000,1004.9378119999999,34.36,64.1,121.44226,24.99754,180.0,0.11666666666666665,0.0
2019/07/14 13:01:39.480000,1004.9395310000001,34.38,64.2,121.44226,24.99754,180.0,0.05833333333333333,0.0
2019/07/14 13:01:40.481000,1004.920781,34.38,64.5,121.44226,24.99754,180.0,0.036111111111111115,0.0
2019/07/14 13:01:41.480000,1004.9282029999999,34.39,65.6,121.44226,24.99754,180.0,0.0,0.0
2019/07/14 13:01:42.480000,1004.931015,34.4,65.7,121.44226,24.99755,180.0,0.02777777777777778,0.0
2019/07/14 13:01:43.483000,1004.95375,34.42,65.8,121.44226,24.99755,180.0,0.03333333333333333,0.0
2019/07/14 13:01:44.480000,1004.909062,34.43,65.8,121.44226,24.99755,180.0,0.05277777777777778,0.0
2019/07/14 13:01:45.480000,1004.924453,34.44,65.4,121.44226,24.99755,180.0,0.036111111111111115,0.0
2019/07/14 13:01:46.481000,1004.9415619999999,34.46,65.3,121.44226,24.99755,180.0,0.03333333333333333,0.0
2019/07/14 13:01:47.480000,1004.96625,34.46,65.3,121.44227,24.99755,180.0,0.08333333333333333,0.0
