duration,time,P,T,RH,WS,WD,LON,LAT,GPS_Z,IF
0.0,2019-07-14 13:24:57.473,1004.61875,37.29,53.0,0.3472222222222222,57.00999999999999,121.44207,24.99771,39.62,1.0
1.003,2019-07-14 13:24:58.476,1004.577109,37.32,52.8,0.09444444444444444,57.00999999999999,121.44207,24.99771,40.09,1.0
10.001,2019-07-14 13:25:07.474,1001.4475,37.28,52.4,7.833333333333333,138.62,121.44218000000001,24.99792,50.76,1.0
11.0,2019-07-14 13:25:08.473,1001.243828,37.26,52.4,10.566666666666666,19.789999999999964,121.44211999999999,24.99779,33.57,1.0
12.0,2019-07-14 13:25:09.473,1000.4425779999999,37.21,52.5,3.5,19.789999999999964,121.44213,24.99783,26.68,1.0
13.0,2019-07-14 13:25:10.473,999.5945310000001,37.17,52.5,10.655555555555555,214.69,121.44218000000001,24.99795,46.47,1.0
14.0,2019-07-14 13:25:11.473,998.705234,37.11,52.6,10.472222222222223,203.72,121.44221,24.99804,53.84,1.0
15.002,2019-07-14 13:25:12.475,997.9909369999999,37.03,52.7,7.022222222222222,218.07,121.44226,24.99795,53.54,1.0
16.0,2019-07-14 13:25:13.473,997.138515,36.95,52.8,4.108333333333333,218.07,121.44232,24.99785,8.18,1.0
17.003,2019-07-14 13:25:14.476,996.260625,36.88,52.9,1.2777777777777777,218.07,121.44238999999999,24.9978,0.0,1.0
17.999,2019-07-14 13:25:15.472,994.975937,36.8,53.0,6.772222222222222,345.9,121.4425,24.997529999999998,0.0,1.0
19.0,2019-07-14 13:25:16.473,994.0575779999999,36.69,53.2,26.244444444444444,250.19,121.44292,24.99766,0.0,1.0
20.001,2019-07-14 13:25:17.474,993.231484,36.62,53.2,6.7138888888888895,250.19,121.4431,24.997529999999998,0.0,1.0
21.003,2019-07-14 13:25:18.476,992.787968,36.54,53.4,2.4722222222222223,250.19,121.4431,24.99749,0.0,1.0
22.006,2019-07-14 13:25:19.479,992.044687,36.44,53.6,4.922222222222222,195.84,121.44301999999999,24.997510000000002,0.0,1.0
23.003,2019-07-14 13:25:20.476,991.088281,36.34,53.8,5.602777777777778,242.1,121.44301000000002,24.99756,0.0,1.0
24.0,2019-07-14 13:25:21.473,990.170625,36.24,54.1,11.313888888888888,269.11,121.44305,24.99761,0.0,1.0
24.999,2019-07-14 13:25:22.472,989.144296,36.14,54.3,17.0,266.98,121.44318999999999,24.99767,0.0,1.0
25.999,2019-07-14 13:25:23.472,988.513281,36.03,54.6,19.70277777777778,258.37,121.44335,24.997729999999997,0.0,1.0
26.999,2019-07-14 13:25:24.472,986.992031,35.9,54.8,12.938888888888888,254.82,121.44346000000002,24.99778,0.0,1.0
27.998,2019-07-14 13:25:25.471,985.872656,35.8,55.0,9.783333333333333,247.26,121.44353000000001,24.99784,0.0,1.0
28.999,2019-07-14 13:25:26.472,985.298515,35.69,55.3,2.8249999999999997,247.26,121.44356,24.99792,0.0,1.0
30.0,2019-07-14 13:25:27.473,984.580312,35.58,55.5,2.4805555555555556,247.26,121.44355,24.997970000000002,0.0,1.0
31.002,2019-07-14 13:25:28.475,983.8282810000001,35.46,55.8,4.236111111111111,247.26,121.44351,24.99802,0.0,1.0
31.999,2019-07-14 13:25:29.472,983.564218,35.35,56.0,6.177777777777777,255.57999999999998,121.44351999999999,24.99801,0.0,1.0
